show_id,type,title,country,released year,rating,listed_in,
s1,Movie,Dick Johnson Is Dead,United States,25-Sep-21,PG-13,Documentaries,
s2,TV Show,Blood & Water,South Africa,24-Sep-21,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",
s3,TV Show,Ganglands,,24-Sep-21,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",
s4,TV Show,Jailbirds New Orleans,,24-Sep-21,TV-MA,"Docuseries, Reality TV",
s5,TV Show,Kota Factory,India,24-Sep-21,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",
s6,TV Show,Midnight Mass,,24-Sep-21,TV-MA,"TV Dramas, TV Horror, TV Mysteries",
s7,Movie,My Little Pony: A New Generation,,24-Sep-21,PG,Children & Family Movies,
s8,Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",24-Sep-21,TV-MA,"Dramas, Independent Movies, International Movies",
s9,TV Show,The Great British Baking Show,United Kingdom,24-Sep-21,TV-14,"British TV Shows, Reality TV",
s10,Movie,The Starling,United States,24-Sep-21,PG-13,"Comedies, Dramas",
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,24-Sep-21,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",
s12,TV Show,Bangkok Breaking,,23-Sep-21,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",
s13,Movie,Je Suis Karl,"Germany, Czech Republic",23-Sep-21,TV-MA,"Dramas, International Movies",
s14,Movie,Confessions of an Invisible Girl,,22-Sep-21,TV-PG,"Children & Family Movies, Comedies",
s15,TV Show,Crime Stories: India Detectives,,22-Sep-21,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",
s16,TV Show,Dear White People,United States,22-Sep-21,TV-MA,"TV Comedies, TV Dramas",
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,22-Sep-21,TV-MA,"Documentaries, International Movies",
s18,TV Show,Falsa identidad,Mexico,22-Sep-21,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",
s19,Movie,Intrusion,,22-Sep-21,TV-14,Thrillers,
s20,TV Show,Jaguar,,22-Sep-21,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,,22-Sep-21,TV-14,"Crime TV Shows, Docuseries, International TV Shows",
s22,TV Show,Resurrection: Ertugrul,Turkey,22-Sep-21,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",
s23,Movie,Avvai Shanmughi,,21-Sep-21,TV-PG,"Comedies, International Movies",
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,,21-Sep-21,TV-Y,Children & Family Movies,
s25,Movie,Jeans,India,21-Sep-21,TV-14,"Comedies, International Movies, Romantic Movies",
s26,TV Show,Love on the Spectrum,Australia,21-Sep-21,TV-14,"Docuseries, International TV Shows, Reality TV",
s27,Movie,Minsara Kanavu,,21-Sep-21,TV-PG,"Comedies, International Movies, Music & Musicals",
s28,Movie,Grown Ups,United States,20-Sep-21,PG-13,Comedies,
s29,Movie,Dark Skies,United States,19-Sep-21,PG-13,"Horror Movies, Sci-Fi & Fantasy",
s30,Movie,Paranoia,"United States, India, France",19-Sep-21,PG-13,Thrillers,
s31,Movie,Ankahi Kahaniya,,17-Sep-21,TV-14,"Dramas, Independent Movies, International Movies",
s32,TV Show,Chicago Party Aunt,,17-Sep-21,TV-MA,TV Comedies,
s33,TV Show,Sex Education,United Kingdom,17-Sep-21,TV-MA,"British TV Shows, International TV Shows, TV Comedies",
s34,TV Show,Squid Game,,17-Sep-21,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",
s35,TV Show,Tayo and Little Wizards,,17-Sep-21,TV-Y7,Kids' TV,
s36,Movie,The Father Who Moves Mountains,,17-Sep-21,TV-MA,"Dramas, International Movies, Thrillers",
s37,Movie,The Stronghold,,17-Sep-21,TV-MA,"Action & Adventure, Dramas, International Movies",
s38,TV Show,Angry Birds,Finland,16-Sep-21,TV-Y7,"Kids' TV, TV Comedies",
s39,Movie,Birth of the Dragon,"China, Canada, United States",16-Sep-21,PG-13,"Action & Adventure, Dramas",
s40,TV Show,Chhota Bheem,India,16-Sep-21,TV-Y7,Kids' TV,
s41,TV Show,He-Man and the Masters of the Universe,United States,16-Sep-21,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",
s42,Movie,Jaws,United States,16-Sep-21,PG,"Action & Adventure, Classic Movies, Dramas",
s43,Movie,Jaws 2,United States,16-Sep-21,PG,"Dramas, Horror Movies, Thrillers",
s44,Movie,Jaws 3,United States,16-Sep-21,PG,"Action & Adventure, Horror Movies, Thrillers",
s45,Movie,Jaws: The Revenge,United States,16-Sep-21,PG-13,"Action & Adventure, Horror Movies, Thrillers",
s46,Movie,My Heroes Were Cowboys,,16-Sep-21,PG,Documentaries,
s47,Movie,Safe House,"South Africa, United States, Japan",16-Sep-21,R,Action & Adventure,
s48,TV Show,The Smart Money Woman,,16-Sep-21,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",
s49,Movie,Training Day,United States,16-Sep-21,R,"Dramas, Thrillers",
s50,TV Show,Castle and Castle,Nigeria,15-Sep-21,TV-MA,"International TV Shows, TV Dramas",
s51,TV Show,Dharmakshetra,India,15-Sep-21,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,15-Sep-21,TV-14,"Action & Adventure, Anime Features, International Movies",
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,15-Sep-21,TV-14,"Action & Adventure, Anime Features, International Movies",
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,15-Sep-21,TV-PG,"Action & Adventure, Anime Features, International Movies",
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Japan,15-Sep-21,TV-PG,"Action & Adventure, Anime Features, International Movies",
s56,TV Show,Nailed It,United States,15-Sep-21,TV-PG,Reality TV,
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Japan,15-Sep-21,TV-14,"Action & Adventure, Anime Features, International Movies",
s58,Movie,Naruto Shippûden the Movie: Bonds,Japan,15-Sep-21,TV-PG,"Action & Adventure, Anime Features, International Movies",
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,15-Sep-21,TV-PG,"Action & Adventure, Anime Features, International Movies",
s60,Movie,Naruto Shippuden: The Movie,Japan,15-Sep-21,TV-PG,"Action & Adventure, Anime Features, International Movies",
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,15-Sep-21,TV-14,"Action & Adventure, Anime Features, International Movies",
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,15-Sep-21,TV-PG,"Action & Adventure, Anime Features, International Movies",
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,15-Sep-21,TV-PG,"Action & Adventure, Anime Features, International Movies",
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,15-Sep-21,TV-PG,"Action & Adventure, Anime Features, International Movies",
s65,Movie,Nightbooks,,15-Sep-21,TV-PG,Children & Family Movies,
s66,TV Show,Numberblocks,United Kingdom,15-Sep-21,TV-Y,Kids' TV,
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,India,15-Sep-21,TV-G,"Docuseries, International TV Shows",
s68,TV Show,Saved by the Bell,United States,15-Sep-21,TV-PG,"Kids' TV, TV Comedies",
s69,Movie,Schumacher,,15-Sep-21,TV-14,"Documentaries, International Movies, Sports Movies",
s70,TV Show,Stories by Rabindranath Tagore,India,15-Sep-21,TV-PG,"International TV Shows, TV Dramas",
s71,TV Show,Too Hot To Handle: Latino,,15-Sep-21,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",
s72,Movie,A StoryBots Space Adventure,,14-Sep-21,TV-Y,Children & Family Movies,
s73,TV Show,Jack Whitehall: Travels with My Father,United Kingdom,14-Sep-21,TV-MA,"British TV Shows, Docuseries, International TV Shows",
s74,Movie,King of Boys,Nigeria,14-Sep-21,TV-MA,"Dramas, International Movies",
s75,TV Show,The World's Most Amazing Vacation Rentals,,14-Sep-21,TV-PG,Reality TV,
s76,Movie,You vs. Wild: Out Cold,,14-Sep-21,TV-G,Children & Family Movies,
s77,TV Show,Yowamushi Pedal,Japan,14-Sep-21,TV-14,"Anime Series, International TV Shows",
s78,Movie,Little Singham - Black Shadow,,11-Sep-21,TV-Y7,"Children & Family Movies, Comedies",
s79,Movie,Tughlaq Durbar,,11-Sep-21,TV-14,"Comedies, Dramas, International Movies",
s80,Movie,Tughlaq Durbar (Telugu),,11-Sep-21,TV-14,"Comedies, Dramas, International Movies",
s81,Movie,Firedrake the Silver Dragon,,10-Sep-21,TV-Y7,Children & Family Movies,
s82,Movie,Kate,United States,10-Sep-21,R,Action & Adventure,
s83,TV Show,Lucifer,United States,10-Sep-21,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",
s84,TV Show,Metal Shop Masters,,10-Sep-21,TV-MA,Reality TV,
s85,Movie,Omo Ghetto: the Saga,Nigeria,10-Sep-21,TV-MA,"Action & Adventure, Comedies, Dramas",
s86,TV Show,Pokémon Master Journeys: The Series,,10-Sep-21,TV-Y7,"Anime Series, Kids' TV",
s87,Movie,Prey,,10-Sep-21,TV-MA,"International Movies, Thrillers",
s88,TV Show,Titipo Titipo,,10-Sep-21,TV-Y,"Kids' TV, Korean TV Shows",
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,,9-Sep-21,PG-13,"Documentaries, Sports Movies",
s90,TV Show,Mighty Raju,,9-Sep-21,TV-Y7,Kids' TV,
s91,Movie,Paradise Hills,"Spain, United States",9-Sep-21,TV-MA,"Sci-Fi & Fantasy, Thrillers",
s92,Movie,The Women and the Murderer,France,9-Sep-21,TV-14,"Documentaries, International Movies",
s93,TV Show,Into the Night,Belgium,8-Sep-21,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",
s94,Movie,JJ+E,,8-Sep-21,TV-MA,"Dramas, International Movies, Romantic Movies",
s95,Movie,Show Dogs,"United Kingdom, United States",8-Sep-21,PG,"Children & Family Movies, Comedies",
s96,TV Show,The Circle,"United States, United Kingdom",8-Sep-21,TV-MA,Reality TV,
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,7-Sep-21,TV-MA,"Documentaries, Music & Musicals",
s98,TV Show,Kid Cosmic,United States,7-Sep-21,TV-Y7,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",
s99,TV Show,Octonauts: Above & Beyond,United Kingdom,7-Sep-21,TV-Y,"British TV Shows, Kids' TV",
s100,TV Show,On the Verge,"France, United States",7-Sep-21,TV-MA,"TV Comedies, TV Dramas",
s101,TV Show,Tobot Galaxy Detectives,,7-Sep-21,TV-Y7,Kids' TV,
s102,Movie,Untold: Breaking Point,United States,7-Sep-21,TV-MA,"Documentaries, Sports Movies",
s103,TV Show,Countdown: Inspiration4 Mission to Space,,6-Sep-21,TV-14,"Docuseries, Science & Nature TV",
s104,Movie,Shadow Parties,,6-Sep-21,TV-MA,"Dramas, International Movies, Thrillers",
s105,TV Show,Tayo the Little Bus,South Korea,6-Sep-21,TV-Y,"Kids' TV, Korean TV Shows",
s106,Movie,Angamaly Diaries,India,5-Sep-21,TV-14,"Action & Adventure, Comedies, Dramas",
s107,TV Show,Bunk'd,United States,5-Sep-21,TV-G,"Kids' TV, TV Comedies",
s108,Movie,A Champion Heart,United States,4-Sep-21,G,"Children & Family Movies, Dramas",
s109,TV Show,Dive Club,Australia,3-Sep-21,TV-G,"Kids' TV, TV Dramas, Teen TV Shows",
s110,TV Show,La casa de papel,Spain,3-Sep-21,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",
s111,TV Show,Money Heist: From Tokyo to Berlin,,3-Sep-21,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",
s112,TV Show,Sharkdog,"United States, Singapore",3-Sep-21,TV-Y,Kids' TV,
s113,Movie,Worth,,3-Sep-21,PG-13,Dramas,
s114,Movie,Afterlife of the Party,,2-Sep-21,TV-PG,"Comedies, Romantic Movies",
s115,Movie,Anjaam,India,2-Sep-21,TV-14,"Dramas, International Movies, Thrillers",
s116,Movie,Bright Star,"United Kingdom, Australia, France",2-Sep-21,PG,"Dramas, Romantic Movies",
s117,Movie,Dhanak,India,2-Sep-21,TV-PG,"Comedies, Dramas, Independent Movies",
s118,Movie,Final Account,"United Kingdom, United States",2-Sep-21,PG-13,Documentaries,
s119,Movie,Gurgaon,India,2-Sep-21,TV-14,"Dramas, International Movies, Thrillers",
s120,Movie,Here and There,,2-Sep-21,TV-MA,"Dramas, International Movies, Romantic Movies",
s121,TV Show,Heroes of Goo Jit Zu,Australia,2-Sep-21,TV-Y7,"Kids' TV, TV Comedies",
s122,TV Show,Hotel Del Luna,,2-Sep-21,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",
s123,Movie,In the Cut,"United Kingdom, Australia, France, United States",2-Sep-21,R,Thrillers,
s124,TV Show,Luv Kushh,,2-Sep-21,TV-Y7,Kids' TV,
s125,TV Show,Pororo - The Little Penguin,South Korea,2-Sep-21,TV-Y7,"Kids' TV, Korean TV Shows",
s126,TV Show,Q-Force,United States,2-Sep-21,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",
s127,Movie,Shikara,India,2-Sep-21,TV-14,"Dramas, International Movies, Romantic Movies",
s128,Movie,A Cinderella Story,"United States, Canada",1-Sep-21,PG,"Children & Family Movies, Comedies",
s129,Movie,Agatha Christie's Crooked House,,1-Sep-21,PG-13,"Dramas, International Movies, Thrillers",
s130,Movie,An Unfinished Life,"Germany, United States",1-Sep-21,PG-13,Dramas,
s131,Movie,Barbie Big City Big Dreams,,1-Sep-21,TV-Y,"Children & Family Movies, Music & Musicals",
s132,Movie,Blade Runner: The Final Cut,United States,1-Sep-21,R,"Action & Adventure, Classic Movies, Cult Movies",
s133,TV Show,Brave Animated Series,,1-Sep-21,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",
s134,Movie,Chappie,"South Africa, United States",1-Sep-21,R,"Action & Adventure, Sci-Fi & Fantasy",
s135,Movie,Clear and Present Danger,"United States, Mexico",1-Sep-21,PG-13,"Action & Adventure, Dramas",
s136,Movie,Cliffhanger,"United States, Italy, France, Japan",1-Sep-21,R,Action & Adventure,
s137,Movie,Cold Mountain,"United States, Italy, Romania, United Kingdom",1-Sep-21,R,"Dramas, Romantic Movies",
s138,Movie,Crocodile Dundee in Los Angeles,"Australia, United States",1-Sep-21,PG,"Action & Adventure, Comedies",
s139,Movie,Dear John,United States,1-Sep-21,PG-13,"Dramas, Romantic Movies",
s140,Movie,Do the Right Thing,United States,1-Sep-21,R,"Classic Movies, Comedies, Dramas",
s141,Movie,"El patrón, radiografía de un crimen","Argentina, Venezuela",1-Sep-21,TV-MA,"Dramas, International Movies, Thrillers",
s142,Movie,Extraction,"United States, United Kingdom, Canada",1-Sep-21,R,Action & Adventure,
s143,Movie,Freedom Writers,"Germany, United States",1-Sep-21,PG-13,Dramas,
s144,Movie,Green Lantern,United States,1-Sep-21,PG-13,"Action & Adventure, Sci-Fi & Fantasy",
s145,Movie,House Party,United States,1-Sep-21,R,"Comedies, Cult Movies",
s146,Movie,House Party 2,United States,1-Sep-21,R,"Comedies, Cult Movies, Music & Musicals",
s147,Movie,House Party 3,United States,1-Sep-21,R,"Comedies, Music & Musicals",
s148,TV Show,How to Be a Cowboy,,1-Sep-21,TV-PG,Reality TV,
s149,TV Show,HQ Barbers,,1-Sep-21,TV-14,TV Shows,
s150,Movie,I Got the Hook Up,United States,1-Sep-21,R,"Action & Adventure, Comedies",
s151,Movie,In Too Deep,United States,1-Sep-21,R,Thrillers,
s152,Movie,Initial D,"China, Hong Kong",1-Sep-21,TV-14,"Action & Adventure, International Movies",
s153,Movie,Janoskians: Untold and Untrue,United States,1-Sep-21,TV-MA,Comedies,
s154,TV Show,Kid-E-Cats,Russia,1-Sep-21,TV-Y,Kids' TV,
s155,TV Show,Kuroko's Basketball,Japan,1-Sep-21,TV-MA,"Anime Series, International TV Shows, Teen TV Shows",
s156,Movie,Labyrinth,"United Kingdom, United States",1-Sep-21,PG,"Action & Adventure, Children & Family Movies, Cult Movies",
s157,Movie,Letters to Juliet,United States,1-Sep-21,PG,"Comedies, Dramas, Romantic Movies",
s158,Movie,Level 16,Canada,1-Sep-21,TV-14,"Sci-Fi & Fantasy, Thrillers",
s159,Movie,Love Don't Cost a Thing,United States,1-Sep-21,PG-13,"Comedies, Romantic Movies",
s160,Movie,Love in a Puff,Hong Kong,1-Sep-21,TV-MA,"Comedies, Dramas, International Movies",
s161,TV Show,Major Dad,United States,1-Sep-21,TV-PG,TV Comedies,
s162,Movie,Mars Attacks!,United States,1-Sep-21,PG-13,"Comedies, Cult Movies, Sci-Fi & Fantasy",
s163,Movie,Marshall,"United States, China, Hong Kong",1-Sep-21,PG-13,Dramas,
s164,Movie,My Boss's Daughter,United States,1-Sep-21,R,"Comedies, Romantic Movies",
s165,Movie,Mystery Men,United States,1-Sep-21,PG-13,"Action & Adventure, Comedies",
s166,TV Show,Oldsters,,1-Sep-21,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",
s167,Movie,Once Upon a Time in America,"Italy, United States",1-Sep-21,R,"Classic Movies, Dramas",
s168,Movie,Open Season 2,"United States, Canada",1-Sep-21,PG,"Children & Family Movies, Comedies",
s169,Movie,Osmosis Jones,United States,1-Sep-21,PG,"Action & Adventure, Children & Family Movies, Comedies",
s170,Movie,Poseidon,United States,1-Sep-21,PG-13,"Action & Adventure, Dramas",
s171,Movie,Rhyme & Reason,United States,1-Sep-21,R,"Documentaries, Music & Musicals",
s172,Movie,Same Kind of Different as Me,United States,1-Sep-21,PG-13,"Dramas, Faith & Spirituality",
s173,Movie,School of Rock,"United States, Germany",1-Sep-21,PG-13,"Comedies, Music & Musicals",
s174,Movie,Snervous Tyler Oakley,United States,1-Sep-21,PG-13,"Documentaries, LGBTQ Movies",
s175,Movie,Tears of the Sun,United States,1-Sep-21,R,"Action & Adventure, Dramas",
s176,Movie,The Blue Lagoon,United States,1-Sep-21,R,"Dramas, Romantic Movies",
s177,Movie,The Golden Child,United States,1-Sep-21,PG-13,"Action & Adventure, Comedies",
s178,Movie,The Guns of Navarone,"United Kingdom, United States",1-Sep-21,TV-14,"Action & Adventure, Classic Movies",
s179,Movie,The Interview,United States,1-Sep-21,R,"Action & Adventure, Comedies",
s180,Movie,The Nutty Professor,United States,1-Sep-21,PG-13,"Comedies, Romantic Movies",
s181,Movie,The Nutty Professor II: The Klumps,,1-Sep-21,PG-13,"Comedies, Romantic Movies",
s182,TV Show,Turning Point: 9/11 and the War on Terror,,1-Sep-21,TV-14,Docuseries,
s183,Movie,Welcome Home Roscoe Jenkins,United States,1-Sep-21,PG-13,Comedies,
s184,Movie,In the Line of Fire,United States,31-Aug-21,R,"Action & Adventure, Classic Movies",
s185,TV Show,Sparking Joy,United States,31-Aug-21,TV-PG,Reality TV,
s186,Movie,Untold: Crime & Penalties,,31-Aug-21,TV-MA,"Documentaries, Sports Movies",
s187,TV Show,Hometown Cha-Cha-Cha,,29-Aug-21,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",
s188,TV Show,The Ingenuity of the Househusband,,29-Aug-21,TV-G,"International TV Shows, TV Comedies",
s189,Movie,2 Alone in Paris,France,28-Aug-21,TV-MA,"Comedies, International Movies",
